date,temperature,rainfall,humidity,holiday,weekend,population_density,event_level,waste_volume
2020-01-01,30.0,36.6,79.8,1,0,7740,2,95.37
2020-01-02,29.5,35.2,85.7,0,0,8225,0,77.08
2020-01-03,28.2,65.8,88.4,0,0,7963,0,61.69
2020-01-04,31.3,20.7,85.7,0,1,8073,1,93.65
2020-01-05,32.7,3.6,84.2,0,1,8226,1,94.08
2020-01-06,28.3,66.7,86.7,0,0,8046,0,61.61
2020-01-07,29.8,78.2,90.0,0,0,8058,0,65.45
2020-01-08,27.3,9.8,82.2,0,0,8299,0,73.11
2020-01-09,31.0,10.1,84.8,0,0,8142,0,70.22
2020-01-10,29.0,18.0,80.0,0,0,7773,0,69.23
2020-01-11,30.2,26.5,85.1,0,1,8125,2,97.4
2020-01-12,28.5,0.0,83.5,0,1,7906,0,80.03
2020-01-13,30.2,43.1,86.1,0,0,7663,0,64.39
2020-01-14,27.5,0.0,80.9,0,0,8260,0,67.34
2020-01-15,30.6,0.0,81.0,0,0,8168,0,70.74
2020-01-16,30.2,3.7,82.6,0,0,7894,0,68.91
2020-01-17,29.5,68.6,89.4,0,0,8044,0,59.79
2020-01-18,30.8,13.7,81.5,0,1,7815,1,86.53
2020-01-19,30.5,2.5,83.2,0,1,8168,1,89.35
2020-01-20,30.1,20.4,81.6,0,0,7917,0,63.1
2020-01-21,29.3,65.2,85.4,0,0,7665,0,60.71
2020-01-22,29.4,120.0,92.5,0,0,7763,0,61.57
2020-01-23,28.4,120.0,91.3,0,0,8186,0,70.47
2020-01-24,29.3,43.4,85.0,0,0,7755,2,78.58
2020-01-25,29.8,90.0,91.9,0,1,8261,1,87.56
2020-01-26,31.2,50.3,83.4,0,1,7726,2,85.98
2020-01-27,29.2,0.0,79.3,0,0,8129,1,71.37
2020-01-28,29.5,64.5,88.7,0,0,8129,0,67.07
2020-01-29,29.4,0.0,81.0,0,0,8183,0,68.82
2020-01-30,29.5,47.4,88.4,0,0,8267,0,68.37
2020-01-31,28.5,32.3,82.0,0,0,8018,0,64.03
2020-02-01,35.0,101.9,87.8,0,1,7882,0,69.49
2020-02-02,30.2,15.1,80.3,0,1,7894,1,83.57
2020-02-03,31.1,58.7,84.0,0,0,7781,0,60.53
2020-02-04,35.0,19.9,89.2,0,0,7803,0,68.21
2020-02-05,32.4,42.5,82.1,0,0,7952,0,66.94
2020-02-06,31.6,46.3,87.1,0,0,8070,0,58.1
2020-02-07,31.3,15.5,89.8,0,0,8315,0,63.9
2020-02-08,30.1,18.6,85.3,0,1,7651,2,78.6
2020-02-09,29.6,23.9,83.5,0,1,7979,1,80.34
2020-02-10,33.5,5.7,83.5,0,0,7926,0,62.87
2020-02-11,31.7,120.0,93.0,0,0,7988,0,58.92
2020-02-12,30.7,120.0,95.0,0,0,8088,0,60.02
2020-02-13,31.9,61.3,86.0,0,0,8198,0,62.67
2020-02-14,32.4,47.4,92.2,0,0,8146,1,66.36
2020-02-15,31.1,49.1,88.8,0,1,7860,1,73.88
